Crop,Site_code,Harvest_month,Year,ANPP,N_amt,N_cat,PPT
Soybean,PRHPA,9,2003,6388.4584,67.184,High,522.199
Soybean,PRHPA,9,2004,6091.1184,0,No,617.929
Soybean,PRHPA,9,2004,6008.294,33.592,Low,617.929
Soybean,PRHPA,9,2004,5604.498,67.184,High,617.929
Soybean,PRHPA,9,2005,5334.2312,0,No,635.152
Soybean,PRHPA,9,2005,5372.0868,33.592,Low,635.152
Soybean,PRHPA,9,2005,5596.2388,67.184,High,635.152
Soybean,PRHPA,9,2007,7701.2532,0,No,843.052
Soybean,PRHPA,9,2007,7450.716,33.592,Low,843.052
Soybean,PRHPA,9,2007,7861.3944,67.184,High,843.052
Soybean,PRHPA,9,2008,6384.2136,0,No,982.142
Soybean,PRHPA,9,2008,6338.2136,33.592,Low,982.142
Soybean,PRHPA,9,2008,6569.248,67.184,High,982.142
Soybean,PRHPA,9,2009,7637.7008,0,No,682.37
Soybean,PRHPA,9,2009,7176.5484,33.592,Low,682.37
Soybean,PRHPA,9,2009,7345.8668,67.184,High,682.37
Soybean,PRHPA,9,2010,8449.6504,0,No,982.625
Soybean,PRHPA,9,2010,8570.5604,33.592,Low,982.625
Soybean,PRHPA,9,2010,8976.4204,67.184,High,982.625
Soybean,PRHPA,9,2011,8996.7252,0,No,660.629
Soybean,PRHPA,9,2011,8264.732,33.592,Low,660.629
Soybean,PRHPA,9,2011,8120.3048,67.184,High,660.629
Soybean,PRHPA,9,2012,5465.694,0,No,424.181
Soybean,PRHPA,9,2012,5093.6212,33.592,Low,424.181
Soybean,PRHPA,9,2012,5053.4096,67.184,High,424.181
Soybean,PRHPA,9,2013,6293.2452,0,No,576.224
Soybean,PRHPA,9,2013,6014.7184,33.58,Low,576.224
Soybean,PRHPA,9,2013,5958.966,67.206,High,576.224
Soybean,PRHPA,9,2014,7881.3544,0,No,771.627
Soybean,PRHPA,9,2014,7698.2696,33.592,Low,771.627
Soybean,PRHPA,9,2014,7921.734,67.184,High,771.627
Soybean,PRHPA,9,2015,8256.0136,0,No,893.268
Soybean,PRHPA,9,2015,8185.2336,33.592,Low,893.268
Soybean,PRHPA,9,2015,8365.4512,67.184,High,893.268
Soybean,PRHPA,9,2016,8891.072,0,No,975.589
Soybean,PRHPA,9,2016,8936.7292,33.592,Low,975.589
Soybean,PRHPA,9,2016,8598.3208,67.184,High,975.589
Soybean,PRHPA,9,2017,7351.6024,0,No,771.679
Soybean,PRHPA,9,2017,7193.0672,33.58,Low,771.679
Soybean,PRHPA,9,2017,6830.798,67.206,High,771.679
Soybean,PRHPA,9,2018,7076.7468,0,No,719.684
Soybean,PRHPA,9,2018,6760.3636,33.592,Low,719.684
Soybean,PRHPA,9,2018,7004.2468,67.184,High,719.684
Soybean,PRHPA,10,1986,6064.7465,0,No,1012.173011
Soybean,PRHPA,10,1986,5971.102,33.592,Low,1012.173011
Soybean,PRHPA,10,1986,6274.1005,67.184,High,1012.173011
Soybean,PRHPA,10,2006,7999.0516,0,No,692.887
Soybean,PRHPA,10,2006,8086.2352,33.592,Low,692.887
Soybean,PRHPA,10,2006,7739.7964,67.184,High,692.887
Soybean,PRHPA,10,2019,6667.215333,0,No,642.8232
Soybean,PRHPA,10,2019,6568.56,33.592,Low,642.8232
Soybean,PRHPA,10,2019,5973.19,67.184,High,642.8232
Soybean,NH,8,2004,9274.015748,0,No,731.1939927
Soybean,NH,9,2006,9637.642169,0,No,763.7059999
Soybean,NH,9,2012,10147.50656,0,No,845.5916796
Soybean,NH,9,2016,13670.38496,0,No,958.7143
Soybean,NH,9,2017,8581.102362,0,No,988.666
Soybean,UMRB,9,2003,7570.723685,35.060256,Low,729
Soybean,UMRB,9,2005,8595.394737,35.342496,Low,1037.6
Soybean,UMRB,9,2007,6151.315789,0.4704,No,875.03
Soybean,UMRB,9,2009,6861.876641,19.665184,Low,768.858
Soybean,UMRB,9,2011,9404.527559,0,No,618.236
Soybean,UMRB,9,2013,6923.392389,0,No,602.234
Soybean,UMRB,9,2015,7706.692913,0,No,1013.76
