year,site_code,type,crop,cereal,map,anpp,ppt,wue
1999,CPER,Rangelands,Range,Range,318.75,1135.208889,501.904,2.261804825
1999,KBS,Croplands,Maize,Cereal,942.5095796,12112.84323,636.2406,19.03814883
1999,NP,Croplands,Spring_Wheat,Cereal,447.1199993,4237.290495,724.1,5.851802921
1999,PRHPA,Croplands,Maize,Cereal,702.199915,17999.802,812.749,22.14681531
1999,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,8545.094,812.749,10.51381669
2000,CPER,Rangelands,Range,Range,318.75,337.5871795,229.362,1.471853138
2000,KBS,Croplands,Soybean,Non-Cereal,942.5095796,4370.82,888.619,4.91866593
2000,NP,Croplands,Spring_Wheat,Cereal,447.1199993,5875.216694,432.2,13.59374524
2000,PRHPA,Croplands,Maize,Cereal,708.6471653,12498.06933,500.913,24.95057891
2000,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6826.096,500.913,13.62730853
2000,PRHPA,Pasture,Switchgrass,Pasture,715.0944156,4244.56995,565.683,7.503442653
2001,CPER,Rangelands,Range,Range,318.75,640.4355556,341.6770014,1.874388832
2001,KBS,Croplands,Winter_Wheat,Cereal,942.5095796,8710.96,927.7837,9.38899875
2001,NP,Croplands,Spring_Wheat,Cereal,447.1199993,7659.834832,555.5,13.78908161
2001,PRHPA,Croplands,Maize,Cereal,708.6471653,11921.20467,683.515,17.4410286
2001,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,7994.466,683.515,11.69610908
2001,PRHPA,Pasture,Switchgrass,Pasture,715.0944156,3852.1765,672.085,5.731680517
2002,CPER,Rangelands,Range,Range,318.75,109.6666667,170.3429997,0.643799081
2002,KBS,Croplands,Maize,Cereal,942.5095796,11262.72297,758.3424,14.85176481
2002,LCB,Croplands,Winter_Wheat,Cereal,1092.179499,7086.266253,731.0,9.693934683
2002,NP,Croplands,Spring_Wheat,Cereal,447.1199993,3788.352562,252.4,15.00932077
2002,PRHPA,Croplands,Maize,Cereal,708.6471653,9761.862333,569.9,17.12907937
2002,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6249.656,569.9,10.96623267
2002,PRHPA,Pasture,Switchgrass,Pasture,715.0944156,3362.833333,559.537,6.01002853
2002,UMRB,Croplands,Maize,Cereal,859.3911829,22004.41904,719.7,30.57443245
